super_number,super_title,number,sub,title,count
I,Kirchenwerke,A,,geistliche Oratorien,22
,,B,,Messen,92
,,C,,Requien und Libera,6
,,D,,Rorate,6
,,E,,Asperges,1
,,F,,Gradualien,2
,,G,,Offertorien,26
,,H,,Motetten,18
,,I,,Kirchensonaten,24
,,J,,Litaneien,30
,,K,,Vespern,21
,,La,,Vesperpsalmen,6
,,Lb,,Miserere,4
,,M,,Antiphonen,
,,,a,Alma redemptoris mater,39
,,,b,Ave Regina coelorum,23
,,,c,Regina coeli,27
,,,d,Salve Regina,67
,,,e,Sub tuum,41
,,,f,Sub tuum ad 4tum Evangelium,1
,,N,,Hymnen,71
,,O,,Te Deum,5
,,P,,Lamentationen,4
,,Q,,Responsorien und Ecce quomodo,8
,,R,,Adventlieder und -arien,38
,,S,,Pastoritien,26
,,T,,Weihnachtslieder,18
II,Weltliche Kompositionen,A,,Tafelstücke humoristischer Art,2
,,B,,Symphonien,21
,,C,,Partiten,16
,,D,,Sonaten,3
,,E,,Konzerte,8
,,F,,Aria für Gesang,1
,,,,total,677
